epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7518,1.58523,0,1,2.20045,0.00019998,0.00019998,0.00019998
2,22.7129,1.09154,0,1,3.01506,0.000397505,0.000397505,0.000397505
3,31.8837,0.83865,0,1,3.86212,0.000581097,0.000581097,0.000581097
4,41.1721,0.65632,0,1,4.188,0.000750758,0.000750758,0.000750758
5,50.6051,0.50202,0,1,4.58331,0.000906487,0.000906487,0.000906487
6,60.3002,0.39542,0,1,4.59643,0.000927685,0.000927685,0.000927685
7,69.864,0.27248,0,1,5.26033,0.000891022,0.000891022,0.000891022
8,79.0572,0.28505,0,1,5.90222,0.000854359,0.000854359,0.000854359
9,89.2434,0.27033,0,1,6.53603,0.000817696,0.000817696,0.000817696
10,98.8626,0.43676,0,1,6.97659,0.000781033,0.000781033,0.000781033
11,108.968,0.12317,0,1,6.84352,0.00074437,0.00074437,0.00074437
